,CompetitionId,DurationInt,Is_X23,M21_3,M21_7,M21_15,M21_30,M21_deadline
301,3752.0,9.0,1.0,49.0,50.0,50.0,50.0,50.0
302,3756.0,56.0,0.0,877.0,1407.0,2175.0,3366.0,4289.0
303,3757.0,74.0,1.0,35.0,55.0,68.0,87.0,96.0
304,3765.0,137.0,1.0,0.0,1.0,1.0,1.0,38.0
305,3772.0,65.0,0.0,448.0,765.0,1193.0,1684.0,2388.0
306,3774.0,89.0,0.0,139.0,220.0,311.0,430.0,894.0
307,3778.0,63.0,1.0,40.0,54.0,62.0,70.0,82.0
308,3781.0,19.0,1.0,5.0,5.0,8.0,8.0,8.0
309,3783.0,137.0,1.0,2.0,2.0,2.0,2.0,22.0
310,3785.0,15.0,0.0,12.0,20.0,27.0,27.0,27.0
311,3786.0,21.0,1.0,7.0,8.0,12.0,13.0,13.0
312,3787.0,20.0,1.0,7.0,12.0,28.0,28.0,28.0
313,3788.0,90.0,0.0,760.0,1231.0,2009.0,3459.0,7639.0
314,3792.0,91.0,1.0,1.0,1.0,1.0,5.0,26.0
315,3793.0,36.0,0.0,5.0,7.0,8.0,87.0,131.0
316,3794.0,12.0,1.0,3.0,16.0,16.0,16.0,16.0
317,3801.0,18.0,1.0,5.0,15.0,69.0,93.0,93.0
318,3808.0,50.0,1.0,0.0,0.0,0.0,0.0,30.0
319,3809.0,44.0,1.0,5.0,26.0,43.0,47.0,47.0
320,3811.0,10.0,1.0,93.0,99.0,103.0,103.0,103.0
321,3814.0,9.0,0.0,14.0,19.0,20.0,20.0,20.0
322,3816.0,74.0,0.0,413.0,770.0,1214.0,1993.0,3714.0
323,3819.0,23.0,1.0,4.0,6.0,18.0,30.0,30.0
324,3823.0,18.0,1.0,4.0,11.0,50.0,74.0,74.0
325,3825.0,11.0,1.0,3.0,5.0,5.0,5.0,5.0
326,3826.0,10.0,1.0,24.0,24.0,24.0,24.0,24.0
327,3829.0,30.0,1.0,12.0,18.0,51.0,52.0,52.0
328,3830.0,58.0,1.0,5.0,19.0,31.0,40.0,41.0
329,3833.0,26.0,1.0,2.0,4.0,59.0,141.0,141.0
330,3834.0,19.0,1.0,42.0,63.0,110.0,128.0,128.0
331,3836.0,21.0,1.0,9.0,16.0,21.0,21.0,21.0
332,3842.0,16.0,1.0,10.0,22.0,25.0,25.0,25.0
333,3844.0,18.0,1.0,3.0,17.0,63.0,78.0,78.0
334,3845.0,21.0,1.0,2.0,7.0,7.0,9.0,9.0
335,3848.0,20.0,1.0,2.0,8.0,141.0,172.0,172.0
336,3849.0,28.0,1.0,1.0,8.0,8.0,8.0,8.0
337,3850.0,52.0,1.0,7.0,9.0,12.0,12.0,13.0
338,3851.0,32.0,1.0,10.0,13.0,29.0,32.0,32.0
339,3855.0,41.0,1.0,1.0,3.0,3.0,10.0,33.0
340,3856.0,17.0,1.0,3.0,6.0,12.0,12.0,12.0
341,3857.0,61.0,1.0,8.0,12.0,12.0,13.0,20.0
342,3858.0,43.0,1.0,9.0,11.0,13.0,25.0,44.0
343,3859.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0
344,3860.0,12.0,0.0,15.0,19.0,33.0,33.0,33.0
345,3861.0,54.0,0.0,3.0,5.0,9.0,25.0,59.0
346,3866.0,54.0,1.0,0.0,27.0,84.0,106.0,170.0
347,3871.0,9.0,0.0,11.0,14.0,16.0,16.0,16.0
348,3872.0,22.0,1.0,13.0,35.0,73.0,122.0,122.0
349,3875.0,24.0,1.0,38.0,41.0,62.0,64.0,64.0
350,3876.0,29.0,1.0,0.0,1.0,2.0,3.0,3.0
351,3877.0,3.0,1.0,94.0,94.0,94.0,94.0,94.0
352,3878.0,3.0,1.0,87.0,87.0,87.0,87.0,87.0
353,3879.0,12.0,0.0,19.0,25.0,27.0,27.0,27.0
354,3880.0,25.0,1.0,8.0,11.0,48.0,176.0,176.0
355,3881.0,45.0,1.0,15.0,22.0,30.0,43.0,56.0
356,3883.0,15.0,1.0,10.0,15.0,26.0,26.0,26.0
357,3884.0,17.0,1.0,4.0,5.0,12.0,12.0,12.0
358,3889.0,30.0,1.0,7.0,10.0,22.0,40.0,40.0
359,3890.0,8.0,0.0,20.0,55.0,56.0,56.0,56.0
360,3891.0,8.0,0.0,8.0,19.0,19.0,19.0,19.0
361,3892.0,17.0,1.0,13.0,16.0,34.0,35.0,35.0
362,3893.0,37.0,1.0,9.0,18.0,28.0,35.0,36.0
363,3895.0,37.0,1.0,1.0,1.0,1.0,13.0,13.0
364,3896.0,40.0,1.0,1.0,10.0,10.0,10.0,10.0
