,CompetitionId,DurationInt,M11_3,M11_7,M11_15,M11_30,M12,M13_3,M13_7,M13_15,M13_30,M13_D7,M13_D15,M13_D30,M13_Ddeadline
15,2489.0,76.0,126.0,276.0,603.0,1164.0,3775.0,0.03337748344370861,0.07311258278145695,0.15973509933774835,0.30834437086092714,0.03973509933774834,0.0866225165562914,0.1486092715231788,0.6916556291390729
16,2496.0,730.0,0.0,0.0,0.0,21.0,25321.0,0.0,0.0,0.0,0.0008293511314719008,0.0,0.0,0.0008293511314719008,0.9991706488685281
17,2499.0,84.0,23.0,55.0,168.0,373.0,1024.0,0.0224609375,0.0537109375,0.1640625,0.3642578125,0.03125,0.1103515625,0.2001953125,0.6357421875
18,2509.0,92.0,19.0,42.0,128.0,297.0,1281.0,0.01483216237314598,0.03278688524590164,0.09992193598750976,0.23185011709601874,0.01795472287275566,0.06713505074160811,0.13192818110850899,0.7681498829039812
19,2510.0,24.0,29.0,157.0,401.0,678.0,678.0,0.04277286135693215,0.23156342182890854,0.5914454277286135,1.0,0.1887905604719764,0.359882005899705,0.4085545722713865,0.0
20,2518.0,63.0,105.0,239.0,449.0,749.0,1874.0,0.056029882604055496,0.12753468516542155,0.23959445037353255,0.39967982924226253,0.07150480256136604,0.112059765208111,0.16008537886872998,0.6003201707577375
21,2528.0,22.0,36.0,70.0,120.0,179.0,179.0,0.2011173184357542,0.39106145251396646,0.6703910614525139,1.0,0.18994413407821226,0.27932960893854747,0.3296089385474861,0.0
22,2545.0,19.0,0.0,33.0,483.0,1093.0,1093.0,0.0,0.03019213174748399,0.44190301921317476,1.0,0.03019213174748399,0.4117108874656908,0.5580969807868252,0.0
23,2546.0,24.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
24,2547.0,73.0,8.0,8.0,14.0,51.0,243.0,0.03292181069958848,0.03292181069958848,0.05761316872427984,0.20987654320987653,0.0,0.024691358024691357,0.15226337448559668,0.7901234567901234
25,2549.0,24.0,2.0,27.0,96.0,231.0,231.0,0.008658008658008658,0.11688311688311688,0.4155844155844156,1.0,0.10822510822510822,0.29870129870129875,0.5844155844155844,0.0
26,2551.0,87.0,229.0,469.0,988.0,1820.0,7730.0,0.029624838292367398,0.060672703751617076,0.1278137128072445,0.23544631306597671,0.031047865459249677,0.06714100905562742,0.10763260025873223,0.7645536869340233
27,2552.0,313.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,2555.0,15.0,5.0,224.0,1959.0,1959.0,1959.0,0.002552322613578356,0.11434405308831036,1.0,1.0,0.11179173047473201,0.8856559469116896,0.0,0.0
29,2558.0,18.0,18.0,28.0,103.0,161.0,161.0,0.11180124223602485,0.17391304347826086,0.639751552795031,1.0,0.06211180124223602,0.4658385093167702,0.36024844720496896,0.0
30,2559.0,9.0,34.0,112.0,168.0,168.0,168.0,0.20238095238095238,0.6666666666666666,1.0,1.0,0.46428571428571425,0.33333333333333337,0.0,0.0
31,2564.0,97.0,84.0,214.0,598.0,1405.0,7262.0,0.011567061415587993,0.029468465987331313,0.08234646103001927,0.19347287248691822,0.017901404571743322,0.05287799504268796,0.11112641145689894,0.8065271275130818
32,2567.0,31.0,9.0,31.0,522.0,876.0,876.0,0.010273972602739725,0.03538812785388128,0.5958904109589042,1.0,0.02511415525114155,0.5605022831050229,0.40410958904109584,0.0
33,2579.0,38.0,1.0,1.0,2.0,26.0,193.0,0.0051813471502590676,0.0051813471502590676,0.010362694300518135,0.13471502590673576,0.0,0.0051813471502590676,0.12435233160621763,0.8652849740932642
34,2583.0,21.0,24.0,101.0,184.0,592.0,592.0,0.04054054054054054,0.17060810810810811,0.3108108108108108,1.0,0.13006756756756757,0.1402027027027027,0.6891891891891893,0.0
35,2584.0,54.0,1.0,2.0,32.0,624.0,1665.0,0.0006006006006006006,0.0012012012012012011,0.01921921921921922,0.3747747747747748,0.0006006006006006006,0.018018018018018018,0.35555555555555557,0.6252252252252253
36,2585.0,25.0,1.0,1.0,1.0,8.0,8.0,0.125,0.125,0.125,1.0,0.0,0.0,0.875,0.0
37,2586.0,149.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
38,2587.0,6.0,20.0,89.0,89.0,89.0,89.0,0.2247191011235955,1.0,1.0,1.0,0.7752808988764045,0.0,0.0,0.0
39,2588.0,67.0,3.0,3.0,4.0,69.0,75.0,0.04,0.04,0.05333333333333334,0.92,0.0,0.013333333333333336,0.8666666666666667,0.07999999999999996
40,2589.0,58.0,38.0,93.0,291.0,644.0,1409.0,0.0269694819020582,0.0660042583392477,0.20652945351312987,0.45706174591909154,0.0390347764371895,0.14052519517388218,0.25053229240596164,0.5429382540809085
41,2598.0,58.0,8.0,21.0,26.0,41.0,184.0,0.043478260869565216,0.11413043478260869,0.14130434782608695,0.22282608695652173,0.07065217391304347,0.027173913043478257,0.08152173913043478,0.7771739130434783
42,2602.0,125.0,4.0,6.0,10.0,61.0,562.0,0.0071174377224199285,0.010676156583629894,0.017793594306049824,0.10854092526690391,0.003558718861209965,0.00711743772241993,0.09074733096085409,0.891459074733096
43,2606.0,103.0,29.0,68.0,159.0,287.0,1749.0,0.016580903373356205,0.03887935963407661,0.09090909090909091,0.16409376786735277,0.02229845626072041,0.0520297312750143,0.07318467695826186,0.8359062321326473
44,2609.0,22.0,135.0,358.0,832.0,1362.0,1362.0,0.09911894273127753,0.26284875183553597,0.6108663729809104,1.0,0.16372980910425844,0.34801762114537443,0.3891336270190896,0.0
45,2610.0,45.0,1.0,2.0,38.0,144.0,227.0,0.004405286343612335,0.00881057268722467,0.16740088105726872,0.6343612334801763,0.004405286343612335,0.15859030837004404,0.46696035242290757,0.36563876651982374
46,2623.0,27.0,22.0,87.0,553.0,624.0,624.0,0.035256410256410256,0.13942307692307693,0.8862179487179487,1.0,0.10416666666666667,0.7467948717948718,0.11378205128205132,0.0
47,2628.0,20.0,13.0,27.0,365.0,840.0,840.0,0.015476190476190477,0.03214285714285714,0.43452380952380953,1.0,0.016666666666666663,0.4023809523809524,0.5654761904761905,0.0
48,2635.0,27.0,7.0,20.0,72.0,297.0,297.0,0.02356902356902357,0.06734006734006734,0.24242424242424243,1.0,0.043771043771043766,0.1750841750841751,0.7575757575757576,0.0
49,2647.0,18.0,1.0,1.0,126.0,149.0,149.0,0.006711409395973154,0.006711409395973154,0.8456375838926175,1.0,0.0,0.8389261744966443,0.15436241610738255,0.0
50,2655.0,30.0,1.0,1.0,6.0,165.0,165.0,0.006060606060606061,0.006060606060606061,0.03636363636363636,1.0,0.0,0.0303030303030303,0.9636363636363636,0.0
51,2657.0,53.0,4.0,5.0,10.0,11.0,19.0,0.21052631578947367,0.2631578947368421,0.5263157894736842,0.5789473684210527,0.05263157894736842,0.2631578947368421,0.052631578947368474,0.42105263157894735
52,2658.0,81.0,2.0,2.0,4.0,13.0,136.0,0.014705882352941176,0.014705882352941176,0.029411764705882353,0.09558823529411764,0.0,0.014705882352941176,0.06617647058823528,0.9044117647058824
53,2667.0,81.0,20.0,75.0,162.0,474.0,2500.0,0.008,0.03,0.0648,0.1896,0.022,0.0348,0.1248,0.8104
54,2668.0,20.0,0.0,2.0,38.0,92.0,92.0,0.0,0.021739130434782608,0.41304347826086957,1.0,0.021739130434782608,0.391304347826087,0.5869565217391304,0.0
55,2669.0,20.0,0.0,10.0,74.0,132.0,132.0,0.0,0.07575757575757576,0.5606060606060606,1.0,0.07575757575757576,0.4848484848484848,0.43939393939393945,0.0
56,2678.0,55.0,1.0,1.0,6.0,57.0,220.0,0.004545454545454545,0.004545454545454545,0.02727272727272727,0.2590909090909091,0.0,0.022727272727272728,0.2318181818181818,0.740909090909091
57,2689.0,33.0,0.0,0.0,0.0,9.0,19.0,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,0.47368421052631576,0.5263157894736843
58,2695.0,27.0,10.0,18.0,67.0,418.0,418.0,0.023923444976076555,0.0430622009569378,0.16028708133971292,1.0,0.019138755980861247,0.11722488038277512,0.8397129186602871,0.0
59,2709.0,60.0,8.0,11.0,57.0,128.0,286.0,0.027972027972027972,0.038461538461538464,0.1993006993006993,0.44755244755244755,0.010489510489510492,0.16083916083916083,0.24825174825174826,0.5524475524475525
60,2711.0,141.0,5.0,5.0,5.0,5.0,446.0,0.011210762331838564,0.011210762331838564,0.011210762331838564,0.011210762331838564,0.0,0.0,0.0,0.9887892376681614
61,2719.0,19.0,3.0,20.0,253.0,253.0,253.0,0.011857707509881422,0.07905138339920949,1.0,1.0,0.06719367588932806,0.9209486166007905,0.0,0.0
62,2732.0,95.0,0.0,0.0,175.0,552.0,2780.0,0.0,0.0,0.06294964028776978,0.1985611510791367,0.0,0.06294964028776978,0.1356115107913669,0.8014388489208633
63,2737.0,94.0,60.0,67.0,172.0,592.0,648.0,0.09259259259259259,0.10339506172839506,0.2654320987654321,0.9135802469135802,0.010802469135802475,0.16203703703703703,0.6481481481481481,0.0864197530864198
64,2742.0,27.0,32.0,83.0,216.0,460.0,460.0,0.06956521739130435,0.18043478260869567,0.46956521739130436,1.0,0.11086956521739132,0.2891304347826087,0.5304347826086957,0.0
65,2743.0,24.0,21.0,42.0,274.0,326.0,326.0,0.06441717791411043,0.12883435582822086,0.8404907975460123,1.0,0.06441717791411043,0.7116564417177914,0.1595092024539877,0.0
66,2748.0,103.0,0.0,0.0,0.0,281.0,13077.0,0.0,0.0,0.0,0.021488108893477097,0.0,0.0,0.021488108893477097,0.9785118911065229
67,2749.0,103.0,0.0,0.0,0.0,0.0,5284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,2752.0,102.0,1.0,1.0,1.0,9.0,82.0,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.10975609756097561,0.0,0.0,0.0975609756097561,0.8902439024390244
69,2758.0,79.0,13.0,31.0,42.0,151.0,697.0,0.018651362984218076,0.04447632711621234,0.06025824964131994,0.21664275466284075,0.025824964131994265,0.0157819225251076,0.1563845050215208,0.7833572453371592
70,2759.0,9.0,16.0,404.0,455.0,455.0,455.0,0.035164835164835165,0.8879120879120879,1.0,1.0,0.8527472527472527,0.11208791208791213,0.0,0.0
