,M26_AU,M26_CA,M26_CN,M26_DE,M26_ES,M26_FR,M26_GB,M26_IN,M26_NL,M26_RU,M26_TW,M26_US,CompetitionId,M27_AU,M27_CA,M27_CN,M27_DE,M27_ES,M27_FR,M27_GB,M27_IN,M27_NL,M27_RU,M27_TW,M27_US,M28_IsClamped,M28_AU,M28_CA,M28_CN,M28_DE,M28_ES,M28_FR,M28_GB,M28_IN,M28_NL,M28_RU,M28_TW,M28_US
315,0,0,0,0,0,0,0,0,0,2,0,7,3871.0,115.0,225.0,637.0,169.0,104.0,135.0,452.0,474.0,64.0,374.0,115.0,3741.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.0,0.0018711574445335472
316,0,0,0,0,0,0,0,0,1,86,0,0,3872.0,124.0,240.0,665.0,182.0,121.0,149.0,477.0,502.0,90.0,385.0,139.0,3934.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.22337662337662337,0.0,0.0
317,0,0,0,1,0,0,59,0,0,0,0,2,3875.0,158.0,281.0,715.0,237.0,159.0,188.0,595.0,610.0,166.0,399.0,151.0,4463.0,,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.09915966386554621,0.0,0.0,0.0,0.0,0.00044812906116961686
318,0,0,0,0,0,0,0,0,0,0,0,87,3877.0,137.0,225.0,605.0,164.0,99.0,128.0,442.0,449.0,57.0,379.0,112.0,3605.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024133148404993063
319,0,0,0,0,0,0,0,0,0,0,0,82,3878.0,137.0,225.0,605.0,164.0,99.0,128.0,442.0,449.0,57.0,379.0,112.0,3605.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02274618585298197
320,0,0,1,0,0,0,0,0,0,0,0,29,3879.0,119.0,235.0,655.0,175.0,111.0,142.0,460.0,497.0,78.0,371.0,139.0,3856.0,,0.0,0.0,0.0015267175572519084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007520746887966805
321,0,0,0,0,0,0,0,0,0,0,0,172,3880.0,131.0,251.0,669.0,197.0,124.0,154.0,503.0,530.0,128.0,390.0,143.0,4033.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04264815273989586
322,0,0,0,0,0,0,0,0,0,0,0,54,3881.0,233.0,322.0,860.0,272.0,192.0,223.0,673.0,799.0,191.0,442.0,158.0,5043.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010707911957168352
323,0,0,0,0,0,0,0,0,0,27,0,0,3883.0,127.0,240.0,664.0,186.0,121.0,152.0,490.0,513.0,120.0,388.0,139.0,3991.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06958762886597938,0.0,0.0
324,0,0,0,0,0,0,0,0,0,12,0,0,3884.0,133.0,252.0,665.0,195.0,125.0,152.0,495.0,522.0,122.0,388.0,141.0,4016.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030927835051546393,0.0,0.0
325,0,0,0,0,0,0,0,0,0,0,0,35,3889.0,191.0,292.0,814.0,249.0,170.0,204.0,620.0,662.0,172.0,419.0,153.0,4662.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075075075075075074
326,0,0,0,0,0,0,1,0,60,0,0,0,3890.0,130.0,247.0,665.0,190.0,124.0,151.0,491.0,516.0,120.0,388.0,139.0,3997.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.002036659877800407,0.0,0.5,0.0,0.0,0.0
327,0,0,0,0,0,1,0,0,11,0,0,0,3891.0,130.0,247.0,665.0,190.0,124.0,151.0,491.0,516.0,120.0,388.0,139.0,3997.0,,0.0,0.0,0.0,0.0,0.0,0.006622516556291391,0.0,0.0,0.09166666666666666,0.0,0.0,0.0
328,0,0,0,0,0,0,0,0,0,0,0,36,3892.0,136.0,263.0,684.0,213.0,135.0,165.0,534.0,561.0,139.0,396.0,144.0,4190.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008591885441527447
329,0,0,0,0,0,0,0,0,0,0,0,36,3893.0,240.0,327.0,862.0,289.0,194.0,232.0,675.0,781.0,198.0,436.0,160.0,5045.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00713577799801784
330,13,0,0,0,0,0,0,0,0,0,0,0,3895.0,240.0,328.0,864.0,288.0,194.0,232.0,677.0,776.0,198.0,439.0,162.0,5042.0,,0.05416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,0,0,0,0,0,0,0,0,0,0,0,7,3896.0,244.0,330.0,869.0,291.0,194.0,236.0,675.0,784.0,200.0,440.0,163.0,5090.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00137524557956778
