,CompetitionId,DurationInt,M4_launch,M4_3,M4_7,M4_15,M4_30,M4_deadline,M4_IsClamped
306,3774.0,89.0,6158.0,6245.0,6348.0,6495.0,6969.0,11464.0,
307,3778.0,63.0,146.0,146.0,146.0,146.0,146.0,146.0,1.0
308,3781.0,19.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0
309,3783.0,137.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0
310,3785.0,15.0,8453.0,8671.0,8813.0,9887.0,9887.0,9887.0,
311,3786.0,21.0,37.0,37.0,37.0,37.0,37.0,37.0,1.0
312,3787.0,20.0,81.0,81.0,81.0,81.0,81.0,81.0,1.0
313,3788.0,90.0,6434.0,6490.0,6641.0,6871.0,7856.0,11513.0,
314,3792.0,91.0,27.0,27.0,27.0,27.0,27.0,27.0,1.0
315,3793.0,36.0,5968.0,5950.0,5921.0,6061.0,6410.0,6548.0,
316,3794.0,12.0,44.0,44.0,44.0,44.0,44.0,44.0,1.0
317,3801.0,18.0,463.0,463.0,463.0,463.0,463.0,463.0,1.0
318,3808.0,50.0,88.0,88.0,88.0,88.0,88.0,88.0,1.0
319,3809.0,44.0,238.0,238.0,238.0,238.0,238.0,238.0,1.0
320,3811.0,10.0,514.0,514.0,514.0,514.0,514.0,514.0,1.0
321,3814.0,9.0,5870.0,5993.0,6122.0,6197.0,6197.0,6197.0,
322,3816.0,74.0,6495.0,6548.0,6700.0,6969.0,7880.0,11464.0,
323,3819.0,23.0,122.0,122.0,122.0,122.0,122.0,122.0,1.0
324,3823.0,18.0,463.0,463.0,463.0,463.0,463.0,463.0,1.0
325,3825.0,11.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
326,3826.0,10.0,44.0,44.0,44.0,44.0,44.0,44.0,1.0
327,3829.0,30.0,327.0,327.0,327.0,327.0,327.0,327.0,1.0
328,3830.0,58.0,65.0,65.0,65.0,65.0,65.0,65.0,1.0
329,3833.0,26.0,284.0,284.0,284.0,284.0,284.0,284.0,1.0
330,3834.0,19.0,147.0,147.0,147.0,147.0,147.0,147.0,1.0
331,3836.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,1.0
332,3842.0,16.0,25.0,25.0,25.0,25.0,25.0,25.0,1.0
333,3844.0,18.0,463.0,463.0,463.0,463.0,463.0,463.0,1.0
334,3845.0,21.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0
335,3848.0,20.0,388.0,388.0,388.0,388.0,388.0,388.0,1.0
336,3849.0,28.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0
337,3850.0,52.0,21.0,21.0,21.0,21.0,21.0,21.0,1.0
338,3851.0,32.0,327.0,327.0,327.0,327.0,327.0,327.0,1.0
339,3855.0,41.0,88.0,88.0,88.0,88.0,88.0,88.0,1.0
340,3856.0,17.0,12.0,12.0,12.0,12.0,12.0,12.0,1.0
341,3857.0,61.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0
342,3858.0,43.0,61.0,61.0,61.0,61.0,61.0,61.0,1.0
343,3859.0,48.0,7358.0,7479.0,7856.0,7907.0,8755.0,10946.0,
344,3860.0,12.0,6921.0,7077.0,7358.0,7792.0,7792.0,7792.0,
345,3861.0,54.0,7232.0,7393.0,7792.0,7908.0,8724.0,11445.0,
346,3866.0,54.0,445.0,445.0,445.0,445.0,445.0,445.0,1.0
347,3871.0,9.0,52.0,52.0,52.0,52.0,52.0,52.0,1.0
348,3872.0,22.0,145.0,145.0,145.0,145.0,145.0,145.0,1.0
349,3875.0,24.0,132.0,132.0,132.0,132.0,132.0,132.0,1.0
